ID, predictor, rs, disc_func, psi_model, rbf, shape_param, pts_dist, mae, std_ae, max_ae, min_ae, mse, rmse, ssim, optimizer, N, n_eval, max_epochs, tot_epochs, lr_factor, lr_pat, es_pat, psimodel_only, loaded_psi, batch_psimod_only, trainperc_psimod_only, reg_fac
20240719_143807, vsk_interpol, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.06, halton, 0.01653180232227739, 0.059777592841951575, 0.8789086950923376, 1.240723219719797e-06, 0.0038466610940009957, 0.06202145672266168, 0.9253126382827759, adam_lr1e-4, 729, 100, 1000, 1000, 0.5, 75, 550, True, False, 32, 0.8, 0.001
20240719_143807, psi, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.06, halton, 0.016318793313434846, 0.06003867843163289, 0.8887858455763251, 3.3693673801987734e-06, 0.003870945923023627, 0.06221692633860682, 0.9255372285842896, adam_lr1e-4, 729, 100, 1000, 1000, 0.5, 75, 550, True, False, 32, 0.8, 0.001
20240719_143807, classic_interpol, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.06, halton, 0.19735849261229071, 0.13691208897575416, 0.6387068527749744, 5.5693405359658055e-05, 0.05769529471390043, 0.240198448608438, 0.588398814201355, adam_lr1e-4, 729, 100, 1000, 1000, 0.5, 75, 550, True, False, 32, 0.8, 0.001
20240719_144117, vsk_interpol, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.12, halton, 0.008067502296039995, 0.045419098415257035, 0.9039353922627211, 7.565333884351766e-08, 0.002127979094151414, 0.046130023782255024, 0.9556946754455566, adam_lr1e-4, 1089, 100, 2000, 2000, 0.5, 75, 550, False, False, 32, 0.8, 0.001
20240719_144117, vsk_nointerpol, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.12, halton, 0.019616306573842196, 0.03673376266828112, 0.7947281276256833, 2.717990244038848e-06, 0.0017341688033685682, 0.041643352451124396, 0.9369807243347168, adam_lr1e-4, 1089, 100, 2000, 2000, 0.5, 75, 550, False, False, 32, 0.8, 0.001
20240719_144117, psi, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.12, halton, 6.018756873220292, 1.9318891138207153, 10.869186755929483, 0.0017429640888642073, 39.9576298470355, 6.321204778128573, 0.5228016376495361, adam_lr1e-4, 1089, 100, 2000, 2000, 0.5, 75, 550, False, False, 32, 0.8, 0.001
20240719_144117, classic_interpol, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.12, halton, 0.14550911986859275, 0.11195698259397105, 0.5529370209909734, 3.057887484111954e-05, 0.03370726991647922, 0.18359539731834024, 0.5885445475578308, adam_lr1e-4, 1089, 100, 2000, 2000, 0.5, 75, 550, False, False, 32, 0.8, 0.001
20240719_144318, vsk_interpol, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.12, halton, 0.012982432998577, 0.044910141348747684, 0.7260767324712156, 2.059803920068104e-06, 0.0021854643625270373, 0.046748950389575994, 0.9486583471298218, adam_lr1e-4, 1089, 100, 1000, 1000, 0.5, 75, 550, True, False, 32, 0.8, 0.001
20240719_144318, psi, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.12, halton, 0.013224853484925816, 0.04484547126306049, 0.717467530729949, 1.256912774841648e-07, 0.002186013042503739, 0.04675481838809492, 0.9486286640167236, adam_lr1e-4, 1089, 100, 1000, 1000, 0.5, 75, 550, True, False, 32, 0.8, 0.001
20240719_144318, classic_interpol, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.12, halton, 0.14550911986859275, 0.11195698259397105, 0.5529370209909734, 3.057887484111954e-05, 0.03370726991647922, 0.18359539731834024, 0.5885445475578308, adam_lr1e-4, 1089, 100, 1000, 1000, 0.5, 75, 550, True, False, 32, 0.8, 0.001
20240719_144738, vsk_interpol, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.48, halton, 0.005682635272384574, 0.04311080473020903, 0.9341877194506626, 3.0951612933760586e-07, 0.0018908338281251617, 0.0434837191156088, 0.9696664214134216, adam_lr1e-4, 1521, 100, 2000, 2000, 0.5, 75, 550, False, False, 32, 0.8, 0.001
20240719_144738, vsk_nointerpol, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.48, halton, 0.05402430467638137, 0.061110724662445666, 0.6593103888082598, 7.796220465594583e-06, 0.006653146164535728, 0.08156682024288876, 0.7879711389541626, adam_lr1e-4, 1521, 100, 2000, 2000, 0.5, 75, 550, False, False, 32, 0.8, 0.001
20240719_144738, psi, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.48, halton, 7.515264217672251, 3.170316117823916, 13.316555906861536, 0.0017605984910090272, 66.53010054835903, 8.156598589385101, 0.45908644795417786, adam_lr1e-4, 1521, 100, 2000, 2000, 0.5, 75, 550, False, False, 32, 0.8, 0.001
20240719_144738, classic_interpol, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.48, halton, 0.06653421552141969, 0.0942551297888472, 0.5099022690625791, 9.444381339207553e-07, 0.013310831326563157, 0.11537257614599389, 0.6453742980957031, adam_lr1e-4, 1521, 100, 2000, 2000, 0.5, 75, 550, False, False, 32, 0.8, 0.001
20240719_145023, vsk_interpol, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.48, halton, 0.008375099940140815, 0.0480171028420979, 0.9334298517726975, 1.6451206247269923e-07, 0.002375784464355953, 0.04874201949402541, 0.9559888243675232, adam_lr1e-4, 1521, 100, 1000, 928, 0.5, 75, 550, True, False, 32, 0.8, 0.001
20240719_145023, psi, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.48, halton, 0.02691446623040225, 0.05423764935949362, 0.7903689118618118, 5.482666177447637e-07, 0.0036661111005108424, 0.06054841947161662, 0.8985541462898254, adam_lr1e-4, 1521, 100, 1000, 928, 0.5, 75, 550, True, False, 32, 0.8, 0.001
20240719_145023, classic_interpol, 4, dfunc_basic_004, deltaresnet_000, matern_c2, 0.48, halton, 0.06653421552141969, 0.0942551297888472, 0.5099022690625791, 9.444381339207553e-07, 0.013310831326563157, 0.11537257614599389, 0.6453742980957031, adam_lr1e-4, 1521, 100, 1000, 928, 0.5, 75, 550, True, False, 32, 0.8, 0.001
